algoritmo	kitdecaptura	preprocesado	muestra	gold_standard	Precision	Recall	Fscore	QueryTpCount	QueryFpCount	QueryTotalCount	TruthTpCount	TruthFnCount	TruthTotalCount	svtype
laconv	IDT-V2	bowtie2-samtools-gatk4	Réplica 3	general	0.02287581699346405	0.008052708638360176	0.011912128712871287	7	299	306	11	1355	1366	Deletion
laconv	IDT-V2	bowtie2-samtools-gatk4	Réplica 3	general	0.0	0.0	NaN	0	1706	1706	0	427	427	Duplication
laconv	IDT-V2	bowtie2-samtools-gatk4	Réplica 3	pass	0.0196078431372549	0.03557312252964427	0.025280898876404497	6	300	306	9	244	253	Deletion
laconv	IDT-V2	bowtie2-samtools-gatk4	Réplica 3	pass	0.0	0.0	NaN	0	1706	1706	0	14	14	Duplication
laconv	IDT-V2	bowtie2-samtools-gatk4	Réplica 4	general	0.0012676681244850098	0.027086383601756955	0.002421985078608144	20	15757	15777	37	1329	1366	Deletion
laconv	IDT-V2	bowtie2-samtools-gatk4	Réplica 4	general	0.0003924765268846421	0.0468384074941452	0.0007784302953095083	13	33110	33123	20	407	427	Duplication
laconv	IDT-V2	bowtie2-samtools-gatk4	Réplica 4	pass	0.0005704506560182544	0.07114624505928854	0.0011318263275379632	9	15768	15777	18	235	253	Deletion
laconv	IDT-V2	bowtie2-samtools-gatk4	Réplica 4	pass	6.038100413609878e-05	0.35714285714285715	0.00012074159487572672	2	33121	33123	5	9	14	Duplication
laconv	IDT-V2	minimap2-samtools-gatk4	Réplica 3	general	0.03691275167785235	0.013909224011713031	0.020204949729311677	11	287	298	19	1347	1366	Deletion
laconv	IDT-V2	minimap2-samtools-gatk4	Réplica 3	general	0.0	0.0	NaN	0	1749	1749	0	427	427	Duplication
laconv	IDT-V2	minimap2-samtools-gatk4	Réplica 3	pass	0.020134228187919462	0.03557312252964427	0.025714285714285714	6	292	298	9	244	253	Deletion
laconv	IDT-V2	minimap2-samtools-gatk4	Réplica 3	pass	0.0	0.0	NaN	0	1749	1749	0	14	14	Duplication
laconv	IDT-V2	minimap2-samtools-gatk4	Réplica 4	general	0.001692471635429073	0.032210834553440704	0.003215965046682927	27	15926	15953	44	1322	1366	Deletion
laconv	IDT-V2	minimap2-samtools-gatk4	Réplica 4	general	0.0003578884580972264	0.04449648711943794	0.0007100658056599719	12	33518	33530	19	408	427	Duplication
laconv	IDT-V2	minimap2-samtools-gatk4	Réplica 4	pass	0.0006268413464552122	0.07114624505928854	0.0012427334612888528	10	15943	15953	18	235	253	Deletion
laconv	IDT-V2	minimap2-samtools-gatk4	Réplica 4	pass	5.964807634953773e-05	0.35714285714285715	0.00011927623182528418	2	33528	33530	5	9	14	Duplication
laconv	IDT-V1	bowtie2-picard-gatk3	Réplica 1	general	0.020942408376963352	0.011026878015161957	0.014446952595936794	8	374	382	16	1435	1451	Deletion
laconv	IDT-V1	bowtie2-picard-gatk3	Réplica 1	general	0.011627906976744186	0.010752688172043012	0.0111731843575419	1	85	86	5	460	465	Duplication
laconv	IDT-V1	bowtie2-picard-gatk3	Réplica 1	pass	0.010471204188481676	0.016556291390728478	0.012828736369467608	4	378	382	5	297	302	Deletion
laconv	IDT-V1	bowtie2-picard-gatk3	Réplica 1	pass	0.011627906976744186	0.3125	0.02242152466367713	1	85	86	5	11	16	Duplication
laconv	IDT-V1	bowtie2-picard-gatk3	Réplica 2	general	0.010263929618768328	0.008270158511371467	0.00915980589935118	7	675	682	12	1439	1451	Deletion
laconv	IDT-V1	bowtie2-picard-gatk3	Réplica 2	general	0.0	0.0	NaN	0	293	293	0	465	465	Duplication
laconv	IDT-V1	bowtie2-picard-gatk3	Réplica 2	pass	0.005865102639296188	0.023178807947019868	0.009361417586091608	4	678	682	7	295	302	Deletion
laconv	IDT-V1	bowtie2-picard-gatk3	Réplica 2	pass	0.0	0.0	NaN	0	293	293	0	16	16	Duplication
laconv	IDT-V1	bowtie2-samtools-gatk4	Réplica 2	general	0.010279001468428781	0.008270158511371467	0.009165802826122537	7	674	681	12	1439	1451	Deletion
laconv	IDT-V1	bowtie2-samtools-gatk4	Réplica 2	general	0.0	0.0	NaN	0	295	295	0	465	465	Duplication
laconv	IDT-V1	bowtie2-samtools-gatk4	Réplica 2	pass	0.005873715124816446	0.023178807947019868	0.009372384937238493	4	677	681	7	295	302	Deletion
laconv	IDT-V1	bowtie2-samtools-gatk4	Réplica 2	pass	0.0	0.0	NaN	0	295	295	0	16	16	Duplication
laconv	IDT-V1	bowtie2-samtools-gatk4	Réplica 1	general	0.020942408376963352	0.011026878015161957	0.014446952595936794	8	374	382	16	1435	1451	Deletion
